text,clean_text,label,language,source
Moderar xabari: akkauntingiz ko'rib chiqilmoqda,moderar xabari: akkauntingiz ko'rib chiqilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1
"Tabriklaymiz siz 3770,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://bit.ly/uz-9364627",tabriklaymiz siz 3770 000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://bit.ly/uz 9364627,DANGEROUS,uz,v10_uzb_foundation
"Assalomu alaykum, Uzmobile dan qo'ng'iroq b'oladi, javob berinng",assalomu alaykum uzmobile dan qo'ng'iroq b'oladi javob berinng,SUSPICIOUS,uz,synthetic_suspicious_v1
"Salom, sizning raqamingiz Ucell da ro'yxatdan o'tgan",salom sizning raqamingiz ucell da ro'yxatdan o'tgan,SUSPICIOUS,uz,synthetic_suspicious_v1
I will come tomorrow di,i will come tomorrow di,SAFE,en,v10_eng_foundation
Click to'lovi amalga oshmadi. Tasdiqlash: http://bit.ly/uz-8261016,click to'lovi amalga oshmadi. tasdiqlash: http://bit.ly/uz 8261016,DANGEROUS,uz,v10_uzb_foundation
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Ã¥Â£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or ã â 250 cash every wk. txt pod to 84128 ts cs www.textpod.net custcare 08712405020.,DANGEROUS,en,v10_eng_foundation
VIP STATUS OLISH IMKONIYATI MAVJUD..,vip status olish imkoniyati mavjud..,SUSPICIOUS,uz,synthetic_suspicious_v1
Xizmat haqi: 197366 so'm. Humo xizmati.,xizmat haqi: 197366 so'm. humo xizmati.,SAFE,uz,v10_uzb_foundation
Kodingiz: 904150. Uni hech qachon begona shaxslarga aytmang!,kodingiz: 904150. uni hech qachon begona shaxslarga aytmang,SAFE,uz,v10_uzb_foundation
Bugun 17:30 da ko'rishamiz....,bugun 17:30 da ko'rishamiz....,SAFE,uz,v10_uzb_foundation
"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec Ã¥Â£1.50ea. OTBox 731 LA1 7WS. )",i want some cock my hubby's away i need a real man 2 satisfy me. txt wife to 89938 for no strings action. txt stop 2 end txt rec ã â 1.50ea. otbox 731 la1 7ws.,DANGEROUS,en,v10_eng_foundation
Well. Im computerless. Time to make some oreo truffles,well. im computerless. time to make some oreo truffles,SAFE,en,v10_eng_foundation
1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(Ã¥Â£1.50p. m),1000's of girls many local 2 u who r virgins 2 this r ready 2 4fil ur every sexual need. can u 4fil theirs text cute to 69911 ã â 1.50p. m,DANGEROUS,uz,v10_uzb_foundation
U vas noviy yutuq! 248 000 yutib oldingiz. Claim your prize: https://bit.ly/claim-361973 ),u vas noviy yutuq 248 000 yutib oldingiz. claim your prize: https://bit.ly/claim 361973,DANGEROUS,uz,v10_uzb_foundation
Where r we meeting?,where r we meeting,SAFE,en,v10_eng_foundation
Kodingiz: 398337. Uni hech qachon begona shaxslarga aytmang!,kodingiz: 398337. uni hech qachon begona shaxslarga aytmang,SAFE,uz,v10_uzb_foundation
Hisobingizdan 816 000 yechildi. Bekor qilish https://bit.ly/claim-734906 (,hisobingizdan 816 000 yechildi. bekor qilish https://bit.ly/claim 734906,DANGEROUS,uz,v10_uzb_foundation
Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,busy here. trying to finish for new year. i am looking forward to finally meeting you...,SAFE,en,v10_eng_foundation
Is it your yahoo boys that bring in the perf? Or legal.,is it your yahoo boys that bring in the perf or legal.,SAFE,en,v10_eng_foundation
Yutuq sohibi bo'ldingiz! 802 000 so'm yutdingiz. https://bit.ly/claim-216386...,yutuq sohibi bo'ldingiz 802 000 so'm yutdingiz. https://bit.ly/claim 216386...,DANGEROUS,uz,v10_uzb_foundation
Yutuq sohibi bo'ldingiz! 511 000 so'm yutdingiz. https://t.me/prize_bot/653749.,yutuq sohibi bo'ldingiz 511 000 so'm yutdingiz. https://t.me/prize_bot/653749.,DANGEROUS,uz,v10_uzb_foundation
Is ur paper in e morn or aft tmr?,is ur paper in e morn or aft tmr,SAFE,en,v10_eng_foundation
Sizning Apelsin profilingiz shikoyatga uchradi. Kodni yuboring: 68000,sizning apelsin profilingiz shikoyatga uchradi. kodni yuboring: 68000,DANGEROUS,uz,v10_uzb_foundation
Your account settings need attentioon,your account settings need attentioon,SUSPICIOUS,en,synthetic_suspicious_v1
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",this is the 2nd time we have tried 2 contact u. u have won the 750 pound prize. 2 claim is easy call 08718726970 now only 10p per min. bt national rate,SUSPICIOUS,uz,v10_uzb_foundation
"Вам передали документ, провеерьте пожалуйста!",вам передали документ провеерьте пожалуйста,SUSPICIOUS,ru,synthetic_suspicious_v1
Parolni o'zgartiring.,parolni o'zgartiring.,SAFE,uz,v10_uzb_foundation
I am great! How are you?,i am great how are you,SAFE,en,v10_eng_foundation
"Davlat tomonidan 2280,000 so'm kompensatsiya ajratildi. Havola orqali tekshiring: http://bit.ly/uz-9762446",davlat tomonidan 2280 000 so'm kompensatsiya ajratildi. havola orqali tekshiring: http://bit.ly/uz 9762446,DANGEROUS,uz,v10_uzb_foundation
I told your number to gautham..,i told your number to gautham..,SAFE,en,v10_eng_foundation
Bugungi majlis 17:30 ga surildi.!,bugungi majlis 17:30 ga surildi.,SAFE,en,v10_eng_foundation
Yangi video yuklandi 18+ apk yuklab oling: http://bonus-uz.com/id/9676593,yangi video yuklandi 18 apk yuklab oling: http://bonus uz.com/id/9676593,DANGEROUS,en,v10_eng_foundation
Haha... can... But i'm having dinner with my cousin...,haha... can... but i'm having dinner with my cousin...,SAFE,en,v10_eng_foundation
I found something interesting abouut you online...,i found something interesting abouut you online...,SUSPICIOUS,en,synthetic_suspicious_v1
Bugungi taklif: masxus bonsu szini kutmoqda...,bugungi taklif: masxus bonsu szini kutmoqda...,SUSPICIOUS,uz,synthetic_suspicious_v1
Diqqat! Bank kartangiz xavfsizlik sababli vaqtincha bloklandi (Kod: 811). Tasdiqlash uchun havolaga kiring: http://uzcard-block.uz?id=4,diqqat bank kartangiz xavfsizlik sababli vaqtincha bloklandi kod: 811 . tasdiqlash uchun havolaga kiring: http://uzcard block.uz id 4,DANGEROUS,uz,v10_uzb_foundation
"Menga 286 000 tashlab ber, ertaga qaytaraman..",menga 286 000 tashlab ber ertaga qaytaraman..,SAFE,uz,v10_uzb_foundation
Xizmat haqi: 184751 so'm. Uzcard xizmati.,xizmat haqi: 184751 so'm. uzcard xizmati.,SAFE,uz,v10_uzb_foundation
I'm coming home 4 dinner.,i'm coming home 4 dinner.,SAFE,en,v10_eng_foundation
Yaxshimisiz? Sog'liqlar qalay?..,yaxshimisiz sog'liqlar qalay ..,SAFE,uz,v10_uzb_foundation
Quick question about the document you shaed...,quick question about the document you shaed...,SUSPICIOUS,en,synthetic_suspicious_v1
Hisobbingizni yangilash talab qilinmoqda!,hisobbingizni yangilash talab qilinmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1
Sizning kodingiz: 7788. Uni hech kimga e'lon qilmang.,sizning kodingiz: 7788. uni hech kimga e'lon qilmang.,SAFE,uz,v10_uzb_foundation
I place all ur points on e cultures module already.,i place all ur points on e cultures module already.,SAFE,en,v10_eng_foundation
"Youur session wll expire soon, please re-authenticate..",youur session wll expire soon please re authenticate..,SUSPICIOUS,en,synthetic_suspicious_v1
"Menga 150,000 so'm tashlab tura olasanmi?...",menga 150 000 so'm tashlab tura olasanmi ...,SAFE,uz,v10_uzb_foundation
Ertaga soat kechga da kutaman.!!,ertaga soat kechga da kutaman.,SAFE,uz,v10_uzb_foundation
Bugun 12:30 da ko'rishamiz....,bugun 12:30 da ko'rishamiz....,SAFE,uz,v10_uzb_foundation
Xizmat haqi: 127095 so'm. Ipak Yo'li xizmati.,xizmat haqi: 127095 so'm. ipak yo'li xizmati.,SAFE,uz,v10_uzb_foundation
Hisobingizga 256096 so'm kelib tushdi. Manba: Click,hisobingizga 256096 so'm kelib tushdi. manba: click,SAFE,uz,v10_uzb_foundation
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,urgent your mobile number has been awarded with a å 2000 prize guaranteed. call 09061790126 from land line. claim 3030. valid 12hrs only 150ppm,SUSPICIOUS,en,v10_eng_foundation
Xizmat haqi: 166931 so'm. Uzcard xizmati.,xizmat haqi: 166931 so'm. uzcard xizmati.,SAFE,uz,v10_uzb_foundation
Sizning accont temporarily suspended,sizning accont temporarily suspended,SUSPICIOUS,uz,synthetic_suspicious_v1
\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH,hi babe uawake feellikw shit.justfound out via aletter thatmum gotmarried 4thnov.behind ourbacks åð fuckinnice selfish,SAFE,en,v10_eng_foundation
"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",the house is on the water with a dock a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel,SAFE,en,v10_eng_foundation
Uyga qaytayotganda go'sht olib kel. tezroq,uyga qaytayotganda go'sht olib kel. tezroq,SAFE,uz,v10_uzb_foundation
Uyda o'tirib kuniga 50$ ishlashni xohlaysizmi? Botga kiring: http://bonus-uz.com/id/9109479,uyda o'tirib kuniga 50 ishlashni xohlaysizmi botga kiring: http://bonus uz.com/id/9109479,DANGEROUS,uz,v10_uzb_foundation
Oh k:)after that placement there ah?,oh k: after that placement there ah,SAFE,en,v10_eng_foundation
Ok lor but not too early. Me still having project meeting now.,ok lor but not too early. me still having project meeting now.,SAFE,en,v10_eng_foundation
Bugungi majlis 19:15 ga surildi. :),bugungi majlis 19:15 ga surildi. :,SAFE,en,v10_eng_foundation
Akkauntingiz reeview qilinmoqda,akkauntingiz reeview qilinmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1
Click to'lovi amalga oshmadi. Tasdiqlash: http://bit.ly/uz-4048877,click to'lovi amalga oshmadi. tasdiqlash: http://bit.ly/uz 4048877,DANGEROUS,uz,v10_uzb_foundation
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",u can win å 100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www.ldew.com skillgame 1winaweek age16.150ppermesssubscription,SUSPICIOUS,uz,v10_uzb_foundation
Кто-то просмматривал ваш профиль,кто то просмматривал ваш профиль,SUSPICIOUS,ru,synthetic_suspicious_v1
Hisobingizdan noma'lum manzilga pul o'tkazildi..,hisobingizdan noma'lum manzilga pul o'tkazildi..,SUSPICIOUS,uz,synthetic_suspicious_v1
"Kartangiz holati yangilandi, tekshiring..",kartangiz holati yangilandi tekshiring..,SUSPICIOUS,uz,synthetic_suspicious_v1
Balansingiz: 318395 so'm. To'lov muvaffaqiyatli.,balansingiz: 318395 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation
U vas noviy yutuq! 338 000 yutib oldingiz. Claim your prize: http://click-safety.uz/638727 ?,u vas noviy yutuq 338 000 yutib oldingiz. claim your prize: http://click safety.uz/638727,DANGEROUS,uz,v10_uzb_foundation
ÌÏ mean it's confirmed... I tot they juz say oni... Ok then... ,ìï mean it's confirmed... i tot they juz say oni... ok then...,SAFE,en,v10_eng_foundation
Bugungi majlis 12:15 ga surildi.?,bugungi majlis 12:15 ga surildi.,SAFE,en,v10_eng_foundation
Hi kindly give us back our documents which we submitted for loan from STAPATI,hi kindly give us back our documents which we submitted for loan from stapati,SAFE,en,v10_eng_foundation
Yangi video yuklandi 18+ apk yuklab oling: https://uz-yutuq.com/p=4792019,yangi video yuklandi 18 apk yuklab oling: https://uz yutuq.com/p 4792019,DANGEROUS,uz,v10_uzb_foundation
daftar narxi qancha ekan hozir? tezroq,daftar narxi qancha ekan hozir tezroq,SAFE,uz,v10_uzb_foundation
Yes:)sura in sun tv.:)lol.,yes: sura in sun tv.: lol.,SAFE,en,v10_eng_foundation
"Contact support iltimos, muamo bor...",contact support iltimos muamo bor...,SUSPICIOUS,uz,synthetic_suspicious_v1
So u workin overtime nigpun?,so u workin overtime nigpun,SAFE,uz,v10_uzb_foundation
Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,don't give a flying monkeys wot they think and i certainly don't mind. any friend of mine and all that,SAFE,en,v10_eng_foundation
Management: new policy requires your agreement!,management: new policy requires your agreement,SUSPICIOUS,en,synthetic_suspicious_v1
Importan:t update your proflie information..,importan:t update your proflie information..,SUSPICIOUS,en,synthetic_suspicious_v1
Please hisobingizni ceck qiling...,please hisobingizni ceck qiling...,SUSPICIOUS,uz,synthetic_suspicious_v1
"Auction round 4. The highest bid is now Ã¥Â£54. Next maximum bid is Ã¥Â£71. To bid, send BIDS e. g. 10 (to bid Ã¥Â£10) to 83383. Good luck.",auction round 4. the highest bid is now ã â 54. next maximum bid is ã â 71. to bid send bids e. g. 10 to bid ã â 10 to 83383. good luck.,DANGEROUS,en,v10_eng_foundation
Yangi video yuklandi 18+ apk yuklab oling: https://click-auth.uz/code=890406,yangi video yuklandi 18 apk yuklab oling: https://click auth.uz/code 890406,DANGEROUS,en,v10_eng_foundation
Kreditingiz ma'qullandi! Shartnoma: http://bank-credit.click,kreditingiz ma'qullandi shartnoma: http://bank credit.click,DANGEROUS,en,v10_eng_foundation
Техподдержка: ваша заявка обрабатывается..,техподдержка: ваша заявка обрабатывается..,SUSPICIOUS,ru,synthetic_suspicious_v1
You weere recommended by a mutual friend...,you weere recommended by a mutual friend...,SUSPICIOUS,en,synthetic_suspicious_v1
Your credentils need to be updated...,your credentils need to be updated...,SUSPICIOUS,en,synthetic_suspicious_v1
Yangi Payme versiyasini yuklang va bonus oling: http://pay-fix.biz,yangi payme versiyasini yuklang va bonus oling: http://pay fix.biz,DANGEROUS,uz,v10_uzb_foundation
Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,sorry u can not unsubscribe yet. the mob offer package has a min term of 54 weeks pls resubmit request after expiry. reply themob help 4 more info,SUSPICIOUS,uz,v10_uzb_foundation
"Aka, ishlar qanday? tezroq",aka ishlar qanday tezroq,SAFE,uz,v10_uzb_foundation
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,it has everything to do with the weather. keep extra warm. its a cold but nothing serious. pls lots of vitamin c,SAFE,en,v10_eng_foundation
Uyga non olib keling.,uyga non olib keling.,SAFE,uz,v10_uzb_foundation
Your access may be limited without verification..,your access may be limited without verification..,SUSPICIOUS,en,synthetic_suspicious_v1
"Есть шабашка на время , не сложная , плачу 3500 за 3 часа",есть шабашка на время не сложная плачу 3500 за 3 часа,SUSPICIOUS,ru,v10_rus_foundation
Kimir sizni kontakt sifatida ko'rsatdi...,kimir sizni kontakt sifatida ko'rsatdi...,SUSPICIOUS,uz,synthetic_suspicious_v1
Kechikaman biroz 14:00 da boraman.!,kechikaman biroz 14:00 da boraman.,SAFE,uz,v10_uzb_foundation
"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",urgent please call 09066612661 from your landline your complimentary 4 lux costa del sol holiday or å 1000 cash await collection. ppm 150 sae t cs james 28 eh74rr,SUSPICIOUS,en,v10_eng_foundation
Hisobingizda yangi bildirishnoma ktmoqda...,hisobingizda yangi bildirishnoma ktmoqda...,SUSPICIOUS,uz,synthetic_suspicious_v1
Bugun 11:30 da ko'rishamiz. tezroq,bugun 11:30 da ko'rishamiz. tezroq,SAFE,uz,v10_uzb_foundation
"Hisobingiz balansi 500,000 so'mdan psat...",hisobingiz balansi 500 000 so'mdan psat...,SUSPICIOUS,uz,synthetic_suspicious_v1
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,SAFE,en,v10_eng_foundation
Click payment failed. Tasdiqlash uchun linkga o'ting: https://t.me/prize_bot/454687 👍,click payment failed. tasdiqlash uchun linkga o'ting: https://t.me/prize_bot/454687,DANGEROUS,uz,v10_uzb_foundation
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",hello from orange. for 1 month's free access to games news and sport plus 10 free texts and 20 photo messages reply yes. terms apply: www.orange.co.uk/ow,SUSPICIOUS,en,v10_eng_foundation
Tasdiqlash kodi: 66091,tasdiqlash kodi: 66091,SAFE,uz,v10_uzb_foundation
Sizga bildirishnoa bor,sizga bildirishnoa bor,SUSPICIOUS,uz,synthetic_suspicious_v1
"Sizga 4200,000 so'm pul o'tkazmasi keldi. Qabul qilish uchun linkni bosing: http://bonus-uz.com/id/2266666",sizga 4200 000 so'm pul o'tkazmasi keldi. qabul qilish uchun linkni bosing: http://bonus uz.com/id/2266666,DANGEROUS,uz,v10_uzb_foundation
"Ok da, i already planned. I wil pick you.",ok da i already planned. i wil pick you.,SAFE,en,v10_eng_foundation
Claim your welcme bonus today...,claim your welcme bonus today...,SUSPICIOUS,en,synthetic_suspicious_v1
"URGENT! Your mobile No 07xxxxxxxxx won a Ã¥Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",urgent your mobile no 07xxxxxxxxx won a ã â 2 000 bonus caller prize on 02/06/03 this is the 2nd attempt to reach you call 09066362231 asap box97n7qp 150ppm,DANGEROUS,en,v10_eng_foundation
Sizga 619 000 som perevod keldi. Podtverdite po ssilke: http://uz-confirm.com/579990 ?,sizga 619 000 som perevod keldi. podtverdite po ssilke: http://uz confirm.com/579990,DANGEROUS,uz,v10_uzb_foundation
"Bu kodni hech kimga bermang, xodimlarimiz uni so'ramaydi. Kod: 250555",bu kodni hech kimga bermang xodimlarimiz uni so'ramaydi. kod: 250555,SAFE,uz,v10_uzb_foundation
Tizim hisobingizzni tekshirsh so'ramoqda,tizim hisobingizzni tekshirsh so'ramoqda,SUSPICIOUS,uz,synthetic_suspicious_v1
Xizmat haqi: 123476 so'm. Click xizmati.,xizmat haqi: 123476 so'm. click xizmati.,SAFE,uz,v10_uzb_foundation
"Until 545 lor... Ya, can go 4 dinner together...",until 545 lor... ya can go 4 dinner together...,SAFE,en,v10_eng_foundation
"Bu kodni hech kimga bermang, xodimlarimiz uni so'ramaydi. Kod: 852765",bu kodni hech kimga bermang xodimlarimiz uni so'ramaydi. kod: 852765,SAFE,uz,v10_uzb_foundation
My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,my trip was ok but quite tiring lor. uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,SAFE,en,v10_eng_foundation
Hiosbingizni verfiy qiling,hiosbingizni verfiy qiling,SUSPICIOUS,uz,synthetic_suspicious_v1
Обнаружена подозрительная активность в аккаунте...,обнаружена подозрительная активность в аккаунте...,SUSPICIOUS,ru,synthetic_suspicious_v1
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy,money you r a lucky winner 2 claim your prize text money 2 88600 over 1million to give away ppt150x3 normal text rate box403 w1t1jy,SUSPICIOUS,en,v10_eng_foundation
"Bu kodni hech kimga bermang, xodimlarimiz uni so'ramaydi. Kod: 886528",bu kodni hech kimga bermang xodimlarimiz uni so'ramaydi. kod: 886528,SAFE,uz,v10_uzb_foundation
Might ax well im there.,might ax well im there.,SAFE,en,v10_eng_foundation
"Menga 1000,000 so'm tashlab tura olasanmi?...",menga 1000 000 so'm tashlab tura olasanmi ...,SAFE,uz,v10_uzb_foundation
How much r Ã_ willing to pay?,how much r ã _ willing to pay,SAFE,en,v10_eng_foundation
Hisobingizdan 266 000 som spisanie. Agar bu siz bo'lmasangiz cancel qiling: https://t.me/prize_bot/986452 ),hisobingizdan 266 000 som spisanie. agar bu siz bo'lmasangiz cancel qiling: https://t.me/prize_bot/986452,DANGEROUS,uz,v10_uzb_foundation
Kinda. First one gets in at twelve! Aah. Speak tomo,kinda. first one gets in at twelve aah. speak tomo,SAFE,en,v10_eng_foundation
Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,hey. for me there is no leave on friday. wait i will ask my superior and tell you..,SAFE,en,v10_eng_foundation
"Hurmatli mijoz, Aloqabank kartangizda shubhali tranzaksiya aniqlangan. Parolni yangilash uchun bosing: bit.ly/bank-auth",hurmatli mijoz aloqabank kartangizda shubhali tranzaksiya aniqlangan. parolni yangilash uchun bosing: bit.ly/bank auth,DANGEROUS,uz,v10_uzb_foundation
Diqqat! Akkauntingiz xavf ostida. Tasdiqlash uchun kiring: https://t.me/premium_uz_bot?ref=8207476,diqqat akkauntingiz xavf ostida. tasdiqlash uchun kiring: https://t.me/premium_uz_bot ref 8207476,DANGEROUS,uz,v10_uzb_foundation
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,urgent your mobile number has been awarded with a å 2000 prize guaranteed. call 09058094454 from land line. claim 3030. valid 12hrs only,SUSPICIOUS,en,v10_eng_foundation
Sizga 175624 so'm bonus berildi! Olish uchun: http://prize-win.top,sizga 175624 so'm bonus berildi olish uchun: http://prize win.top,SUSPICIOUS,uz,v10_uzb_foundation
Служба безопасности: проверьте вашу учетную запись,служба безопасности: проверьте вашу учетную запись,SUSPICIOUS,ru,synthetic_suspicious_v1
Diqqat! Akkauntingiz xavf ostida. Tasdiqlash uchun kiring: https://click-auth.uz/code=6936402,diqqat akkauntingiz xavf ostida. tasdiqlash uchun kiring: https://click auth.uz/code 6936402,DANGEROUS,uz,v10_uzb_foundation
System: your API key is about to expire...,system: your api key is about to expire...,SUSPICIOUS,en,synthetic_suspicious_v1
"Приветствую. Доход от 75 долларов в час, записывайся прямо сейчас, осталось 3 мест. Пишите плюс в личные сообщения, расскажу детали",приветствую. доход от 75 долларов в час записывайся прямо сейчас осталось 3 мест. пишите плюс в личные сообщения расскажу детали,SUSPICIOUS,ru,v10_rus_foundation
K.k.how is your business now?,k.k.how is your business now,SAFE,en,v10_eng_foundation
Balansingiz: 80532 so'm. To'lov muvaffaqiyatli.,balansingiz: 80532 so'm. to'lov muvaffaqiyatli.,SAFE,uz,v10_uzb_foundation
We have an opportuity that might interest you!,we have an opportuity that might interest you,SUSPICIOUS,en,synthetic_suspicious_v1
To'ov amalga oshirish uchun tasdiqlash kerak...,to'ov amalga oshirish uchun tasdiqlash kerak...,SUSPICIOUS,uz,synthetic_suspicious_v1
Flahs sale: prmeium access at reduced price!,flahs sale: prmeium access at reduced price,SUSPICIOUS,en,synthetic_suspicious_v1
You've been chosen for a 10% discount!,you've been chosen for a 10 discount,SUSPICIOUS,en,synthetic_suspicious_v1
Profliingiz faollashtirihs kutmoqda,profliingiz faollashtirihs kutmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1
"Alright we're hooked up, where you guys at",alright we're hooked up where you guys at,SAFE,en,v10_eng_foundation
Hisobingizga 154666 so'm kelib tushdi. Manba: Click,hisobingizga 154666 so'm kelib tushdi. manba: click,SAFE,uz,v10_uzb_foundation
"Tabriklaymiz siz 3490,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: http://18plus-video.apk/q=8350662",tabriklaymiz siz 3490 000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: http://18plus video .apk /q 8350662,DANGEROUS,uz,v10_uzb_foundation
Profiliingiz bugun ichida tasdiqlanisshi kerak..,profiliingiz bugun ichida tasdiqlanisshi kerak..,SUSPICIOUS,uz,synthetic_suspicious_v1
Karta faollashtirildi. Kod: 228556,karta faollashtirildi. kod: 228556,SAFE,uz,v10_uzb_foundation
Sizning kodingiz: 986159,sizning kodingiz: 986159,SAFE,uz,v10_uzb_foundation
Bugungi majlis 18:45 ga surildi.!,bugungi majlis 18:45 ga surildi.,SAFE,en,v10_eng_foundation
"Menga 2860,000 so'm tashlab tura olasanmi? :)",menga 2860 000 so'm tashlab tura olasanmi :,SAFE,uz,v10_uzb_foundation
"Tabriklaymiz siz 2400,000 so'm yutib oldingiz. Pulni olish uchun havolaga kiring: https://click-auth.uz/code=1363767",tabriklaymiz siz 2400 000 so'm yutib oldingiz. pulni olish uchun havolaga kiring: https://click auth.uz/code 1363767,DANGEROUS,uz,v10_uzb_foundation
Hisobingizdan shubhali tranzaksiya aniqlandi. Tasdiqlash uchun havolaga o'ting: https://uz-yutuq.com/p=5626655,hisobingizdan shubhali tranzaksiya aniqlandi. tasdiqlash uchun havolaga o'ting: https://uz yutuq.com/p 5626655,DANGEROUS,uz,v10_uzb_foundation
AUDIT TEAM: RECORDS NEED YOR CONFIRRMATION,audit team: records need yor confirrmation,SUSPICIOUS,en,synthetic_suspicious_v1
"Kriptovalyuta sarmoya qilib kuniga 4840,000 so'm toping: http://18plus-video.apk/q=5924774",kriptovalyuta sarmoya qilib kuniga 4840 000 so'm toping: http://18plus video .apk /q 5924774,DANGEROUS,uz,v10_uzb_foundation
Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,dunno cos i was v late n when i reach they inside already... but we ate spageddies lor... it's e gals who r laughing at me lor...,SAFE,en,v10_eng_foundation
"Menga 3190,000 so'm tashlab tura olasanmi? tezroq",menga 3190 000 so'm tashlab tura olasanmi tezroq,SAFE,uz,v10_uzb_foundation
I know she called me,i know she called me,SAFE,en,v10_eng_foundation
Hisobingizdan shubhali tranzaksiya aniqlandi. Tasdiqlash uchun havolaga o'ting: http://pochta-uz.com/track=7484450,hisobingizdan shubhali tranzaksiya aniqlandi. tasdiqlash uchun havolaga o'ting: http://pochta uz.com/track 7484450,DANGEROUS,uz,v10_uzb_foundation
"Hisbingiz balansi 500,000 so'mdan past!",hisbingiz balansi 500 000 so'mdan past,SUSPICIOUS,uz,synthetic_suspicious_v1
"Yangi qurilmadan (MacBook, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=17",yangi qurilmadan macbook moscow hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil tasdiq.com/sms id 17,DANGEROUS,uz,v10_uzb_foundation
Payment penidng kutiilmoqda,payment penidng kutiilmoqda,SUSPICIOUS,uz,synthetic_suspicious_v1
Uzcard xavfsizlik botiga ulaning va bonus oling: https://click-auth.uz/code=2049474,uzcard xavfsizlik botiga ulaning va bonus oling: https://click auth.uz/code 2049474,DANGEROUS,uz,v10_uzb_foundation
Sizga 440318 so'm bonus berildi! Olish uchun: http://promo-gift.ml,sizga 440318 so'm bonus berildi olish uchun: http://promo gift.ml,SUSPICIOUS,uz,v10_uzb_foundation
"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",hi ya babe x u 4goten bout me ' scammers getting smart..though this is a regular vodafone no if you respond you get further prem rate msg/subscription. other nos used also. beware,SUSPICIOUS,uz,v10_uzb_foundation
Quick question abot the documennt you shared,quick question abot the documennt you shared,SUSPICIOUS,en,synthetic_suspicious_v1
