text,normalized_text,label_unified,language_fixed,language_confidence,source_dataset
"What will we do in the shower, baby?","what will we do in the shower, baby?",SAFE,en,high,messages_cleaned.csv
I had askd u a question some hours before. Its answer,i had askd u a question some hours before. its answer,SAFE,en,high,messages_cleaned.csv
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out","well imma definitely need to restock before thanksgiving, i'll let you know when i'm out",SAFE,en,high,messages_cleaned.csv
"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!","said kiss, kiss, i can't do the sound effects! he is a gorgeous man isn't he! kind of person who needs a smile to brighten his day!",SAFE,en,high,messages_cleaned.csv
Probably gonna swing by in a wee bit,probably gonna swing by in a wee bit,SAFE,en,high,messages_cleaned.csv
Ya very nice. . .be ready on thursday,ya very nice. . .be ready on thursday,SAFE,en,high,messages_cleaned.csv
Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,allo! we have braved the buses and taken on the trains and triumphed. i mean we're in b'ham. have a jolly good rest of week,SAFE,en,high,messages_cleaned.csv
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?","watching cartoon, listening music &amp; at eve had to go temple &amp; church.. what about u?",SAFE,en,high,messages_cleaned.csv
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,do you mind if i ask what happened? you dont have to say if it is uncomfortable.,SAFE,en,high,messages_cleaned.csv
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,private! your 2003 account statement for shows 800 un-redeemed s. i. m. points. call 08715203694 identifier code: 40533 expires 31/10/04,DANGEROUS,en,high,messages_cleaned.csv
No prob. I will send to your email.,no prob. i will send to your email.,SAFE,en,high,messages_cleaned.csv
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm","you have won ?1,000 cash or a ?2,000 prize! to claim, call09050000327. t&c: rstm, sw7 3ss. 150ppm",DANGEROUS,en,high,messages_cleaned.csv
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),thats cool! sometimes slow and gentle. sonetimes rough and hard :),SAFE,en,high,messages_cleaned.csv
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,i'm gonna say no. sorry. i would but as normal am starting to panic about time. sorry again! are you seeing on tuesday?,SAFE,en,high,messages_cleaned.csv
"Wait, do you know if wesleys in town? I bet she does hella drugs!","wait, do you know if wesleys in town? i bet she does hella drugs!",SAFE,en,high,messages_cleaned.csv
Fine i miss you very much.,fine i miss you very much.,SAFE,en,high,messages_cleaned.csv
Tell them the drug dealer's getting impatient,tell them the drug dealer's getting impatient,SAFE,en,high,messages_cleaned.csv
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng","sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. i cant come to meet u, but can send my care as msg to u. gud evng",SAFE,en,high,messages_cleaned.csv
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com","it doesnt make sense to take it there unless its free. if you need to know more, wikipedia.com",SAFE,en,high,messages_cleaned.csv
88800 and 89034 are premium phone services call 08718711108,88800 and 89034 are premium phone services call 08718711108,DANGEROUS,en,high,messages_cleaned.csv
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '","under the sea, there lays a rock. in the rock, there is an envelope. in the envelope, there is a paper. on the paper, there are 3 words... '",SAFE,en,high,messages_cleaned.csv
Then mum's repent how?,then mum's repent how?,SAFE,en,high,messages_cleaned.csv
Sorry me going home first... Daddy come fetch ü later...,sorry me going home first... daddy come fetch ü later...,SAFE,en,high,messages_cleaned.csv
Leave it de:-). Start Prepare for next:-)..,leave it de:-). start prepare for next:-)..,SAFE,en,high,messages_cleaned.csv
Yes baby! We can study all the positions of the kama sutra ;),yes baby! we can study all the positions of the kama sutra ;),SAFE,en,high,messages_cleaned.csv
En chikku nange bakra msg kalstiya..then had tea/coffee?,en chikku nange bakra msg kalstiya..then had tea/coffee?,SAFE,en,high,messages_cleaned.csv
Carlos'll be here in a minute if you still need to buy,carlos'll be here in a minute if you still need to buy,SAFE,en,high,messages_cleaned.csv
This pay is  &lt;DECIMAL&gt;  lakhs:),this pay is &lt;decimal&gt; lakhs:),SAFE,en,high,messages_cleaned.csv
Have a good evening! Ttyl,have a good evening! ttyl,SAFE,en,high,messages_cleaned.csv
Did u receive my msg?,did u receive my msg?,SAFE,en,high,messages_cleaned.csv
Ho ho - big belly laugh! See ya tomo,ho ho - big belly laugh! see ya tomo,SAFE,en,high,messages_cleaned.csv
"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468","sms. ac sun0819 posts hello:""you seem cool, wanted to say hi. hi!!!"" stop? send stop to 62468",DANGEROUS,en,high,messages_cleaned.csv
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,get ur 1st ringtone free now! reply to this msg with tone. gr8 top 20 tones to your phone every week just £1.50 per wk 2 opt out send stop 08452810071 16,DANGEROUS,en,high,messages_cleaned.csv
"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.","ditto. and you won't have to worry about me saying anything to you anymore. like i said last night, you do whatever you want and i'll do the same. peace.",SAFE,en,high,messages_cleaned.csv
"I've got  &lt;#&gt; , any way I could pick up?","i've got &lt;#&gt; , any way i could pick up?",SAFE,en,high,messages_cleaned.csv
"I dont knw pa, i just drink milk..","i dont knw pa, i just drink milk..",SAFE,en,high,messages_cleaned.csv
Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?,maybe?! say hi to and find out if got his card. great escape or wetherspoons?,SAFE,en,high,messages_cleaned.csv
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...","piggy, r u awake? i bet u're still sleeping. i'm going 4 lunch now...",SAFE,en,high,messages_cleaned.csv
Cause I'm not freaky lol,cause i'm not freaky lol,SAFE,en,high,messages_cleaned.csv
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,missed your call cause i was yelling at scrappy. miss u. can't wait for u to come home. i'm so lonely today.,SAFE,en,high,messages_cleaned.csv
What is this 'hex' place you talk of? Explain!,what is this 'hex' place you talk of? explain!,SAFE,en,high,messages_cleaned.csv
Ü log off 4 wat. It's sdryb8i,ü log off 4 wat. it's sdryb8i,SAFE,en,high,messages_cleaned.csv
Is xy going 4 e lunch?,is xy going 4 e lunch?,SAFE,en,high,messages_cleaned.csv
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,hi i'm sue. i am 20 years old and work as a lapdancer. i love sex. text me live - i'm i my bedroom now. text sue to 89555. by textoperator g2 1da 150ppmsg 18+,DANGEROUS,en,high,messages_cleaned.csv
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,i wanted to ask ü to wait 4 me to finish lect. cos my lect finishes in an hour anyway.,SAFE,en,high,messages_cleaned.csv
Have you finished work yet? :),have you finished work yet? :),SAFE,en,high,messages_cleaned.csv
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8","every king was once a crying baby and every great building was once a map.. not imprtant where u r today, but where u wil reach tomorw. gud ni8",SAFE,en,high,messages_cleaned.csv
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.","dear,me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",SAFE,en,high,messages_cleaned.csv
Thanks love. But am i doing torch or bold.,thanks love. but am i doing torch or bold.,SAFE,en,high,messages_cleaned.csv
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,<forwarded from 448712404000>please call 08712404000 immediately as there is an urgent message waiting for you.,DANGEROUS,en,high,messages_cleaned.csv
Was the farm open?,was the farm open?,SAFE,en,high,messages_cleaned.csv
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.","sorry to trouble u again. can buy 4d for my dad again? 1405, 1680, 1843. all 2 big 1 small, sat n sun. thanx.",SAFE,en,high,messages_cleaned.csv
"My sister in law, hope you are having a great month. Just saying hey. Abiola","my sister in law, hope you are having a great month. just saying hey. abiola",SAFE,en,high,messages_cleaned.csv
Will purchase d stuff today and mail to you. Do you have a po box number?,will purchase d stuff today and mail to you. do you have a po box number?,SAFE,en,high,messages_cleaned.csv
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ah poop. looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,SAFE,en,high,messages_cleaned.csv
Good. Good job. I like entrepreneurs,good. good job. i like entrepreneurs,SAFE,en,high,messages_cleaned.csv
"Aight, you close by or still down around alex's place?","aight, you close by or still down around alex's place?",SAFE,en,high,messages_cleaned.csv
meet you in corporation st outside gap … you can see how my mind is working!,meet you in corporation st outside gap … you can see how my mind is working!,SAFE,en,high,messages_cleaned.csv
Mum ask ü to buy food home...,mum ask ü to buy food home...,SAFE,en,high,messages_cleaned.csv
K..u also dont msg or reply to his msg..,k..u also dont msg or reply to his msg..,SAFE,en,high,messages_cleaned.csv
How much r ü willing to pay?,how much r ü willing to pay?,SAFE,en,high,messages_cleaned.csv
What is important is that you prevent dehydration by giving her enough fluids,what is important is that you prevent dehydration by giving her enough fluids,SAFE,en,high,messages_cleaned.csv
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!","thats a bit weird, even ?- where is the do supposed to be happening? but good idea, sure they will be in pub!",SAFE,en,high,messages_cleaned.csv
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,true dear..i sat to pray evening and felt so.so i sms'd you in some time...,SAFE,en,high,messages_cleaned.csv
"I don't think I can get away for a trek that long with family in town, sorry","i don't think i can get away for a trek that long with family in town, sorry",SAFE,en,high,messages_cleaned.csv
So when do you wanna gym harri,so when do you wanna gym harri,SAFE,en,high,messages_cleaned.csv
Quite late lar... Ard 12 anyway i wun b drivin...,quite late lar... ard 12 anyway i wun b drivin...,SAFE,en,high,messages_cleaned.csv
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT","to review and keep the fantastic nokia n-gage game deck with club nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word out",DANGEROUS,en,high,messages_cleaned.csv
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,4mths half price orange line rental & latest camera phones 4 free. had your phone 11mths+? call mobilesdirect free on 08000938767 to update now! or2stoptxt t&cs,DANGEROUS,en,high,messages_cleaned.csv
"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..","height of confidence: all the aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. aftr they sat they wer told dat the plane ws made by their students. dey all hurried out of d plane.. bt only 1 didnt move... he said:""if it is made by my students,this wont even start........ datz confidence..",SAFE,en,high,messages_cleaned.csv
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,SAFE,en,high,messages_cleaned.csv
08714712388 between 10am-7pm Cost 10p,08714712388 between 10am-7pm cost 10p,DANGEROUS,en,high,messages_cleaned.csv
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.","save yourself the stress. if the person has a dorm account, just send your account details and the money will be sent to you.",SAFE,en,high,messages_cleaned.csv
He also knows about lunch menu only da. . I know,he also knows about lunch menu only da. . i know,SAFE,en,high,messages_cleaned.csv
When i have stuff to sell i.ll tell you,when i have stuff to sell i.ll tell you,SAFE,en,high,messages_cleaned.csv
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,+449071512431 urgent! this is the 2nd attempt to contact u!u have won £1250 call 09071512433 b4 050703 t&csbcm4235wc1n3xx. callcost 150ppm mobilesvary. max£7. 50,DANGEROUS,en,high,messages_cleaned.csv
Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,book which lesson? then you msg me... i will call up after work or sth... i'm going to get specs. my membership is px3748,SAFE,en,high,messages_cleaned.csv
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,you have won a guaranteed £1000 cash or a £2000 prize. to claim yr prize call our customer service representative on 08714712394 between 10am-7pm,DANGEROUS,en,high,messages_cleaned.csv
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.let life begin again.call me anytime,SAFE,en,high,messages_cleaned.csv
Oh is it? Send me the address,oh is it? send me the address,SAFE,en,high,messages_cleaned.csv
S'fine. Anytime. All the best with it.,s'fine. anytime. all the best with it.,SAFE,en,high,messages_cleaned.csv
That is wondar full flim.,that is wondar full flim.,SAFE,en,high,messages_cleaned.csv
Ya even those cookies have jelly on them,ya even those cookies have jelly on them,SAFE,en,high,messages_cleaned.csv
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.","the world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",SAFE,en,high,messages_cleaned.csv
Got it! It looks scrumptious... daddy wants to eat you all night long!,got it! it looks scrumptious... daddy wants to eat you all night long!,SAFE,en,high,messages_cleaned.csv
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,of cos can lar i'm not so ba dao ok... 1 pm lor... y u never ask where we go ah... i said u would ask on fri but he said u will ask today...,SAFE,en,high,messages_cleaned.csv
"Alright omw, gotta change my order to a half8th","alright omw, gotta change my order to a half8th",SAFE,en,high,messages_cleaned.csv
Exactly. Anyways how far. Is jide her to study or just visiting,exactly. anyways how far. is jide her to study or just visiting,SAFE,en,high,messages_cleaned.csv
Dunno y u ask me.,dunno y u ask me.,SAFE,en,high,messages_cleaned.csv
Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,email alertfrom: jeri stewartsize: 2kbsubject: low-cost prescripiton drvgsto listen to email call 123,DANGEROUS,en,high,messages_cleaned.csv
No he didn't. Spring is coming early yay!,no he didn't. spring is coming early yay!,SAFE,en,high,messages_cleaned.csv
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,lol you won't feel bad when i use her money to take you out to a steak dinner =d,SAFE,en,high,messages_cleaned.csv
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,SAFE,en,high,messages_cleaned.csv
Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.rakhesh,SAFE,en,high,messages_cleaned.csv
Then why no one talking to me,then why no one talking to me,SAFE,en,high,messages_cleaned.csv
Thanks for looking out for me. I really appreciate.,thanks for looking out for me. i really appreciate.,SAFE,en,high,messages_cleaned.csv
Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,hi. customer loyalty offer:the new nokia6650 mobile from only £10 at txtauction! txt word: start to no: 81151 & get yours now! 4t&ctxt tc 150p/mtmsg,DANGEROUS,en,high,messages_cleaned.csv
Wish i were with you now!,wish i were with you now!,SAFE,en,high,messages_cleaned.csv
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,haha mayb u're rite... u know me well. da feeling of being liked by someone is gd lor. u faster go find one then all gals in our group attached liao.,SAFE,en,high,messages_cleaned.csv
Yes i will be there. Glad you made it.,yes i will be there. glad you made it.,SAFE,en,high,messages_cleaned.csv
Do well :)all will for little time. Thing of good times ahead:,do well :)all will for little time. thing of good times ahead:,SAFE,en,high,messages_cleaned.csv
Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,SAFE,en,high,messages_cleaned.csv
Ok. There may be a free gym about.,ok. there may be a free gym about.,SAFE,en,high,messages_cleaned.csv
Men like shorter ladies. Gaze up into his eyes.,men like shorter ladies. gaze up into his eyes.,SAFE,en,high,messages_cleaned.csv
Dunno he jus say go lido. Same time 930.,dunno he jus say go lido. same time 930.,SAFE,en,high,messages_cleaned.csv
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!","i promise to take good care of you, princess. i have to run now. please send pics when you get a chance. ttyl!",SAFE,en,high,messages_cleaned.csv
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,u are subscribed to the best mobile content service in the uk for £3 per 10 days until you send stop to 82324. helpline 08706091795,DANGEROUS,en,high,messages_cleaned.csv
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,is there a reason we've not spoken this year? anyways have a great week and all the best in your exam,SAFE,en,high,messages_cleaned.csv
By monday next week. Give me the full gist,by monday next week. give me the full gist,SAFE,en,high,messages_cleaned.csv
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?","do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",DANGEROUS,en,high,messages_cleaned.csv
You have an important customer service announcement from PREMIER.,you have an important customer service announcement from premier.,DANGEROUS,en,high,messages_cleaned.csv
Dont gimme that lip caveboy,dont gimme that lip caveboy,SAFE,en,high,messages_cleaned.csv
When did you get to the library,when did you get to the library,SAFE,en,high,messages_cleaned.csv
Realy sorry-i don't recognise this number and am now confused :) who r u please?!,realy sorry-i don't recognise this number and am now confused :) who r u please?!,SAFE,en,high,messages_cleaned.csv
So why didnt you holla?,so why didnt you holla?,SAFE,en,high,messages_cleaned.csv
Cant think of anyone with * spare room off * top of my head,cant think of anyone with * spare room off * top of my head,SAFE,en,high,messages_cleaned.csv
"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!","faith makes things possible,hope makes things work,love makes things beautiful,may you have all three this christmas!merry christmas!",SAFE,en,high,messages_cleaned.csv
U should have made an appointment,u should have made an appointment,SAFE,en,high,messages_cleaned.csv
"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts","call me when you/carlos is/are here, my phone's vibrate is acting up and i might not hear texts",SAFE,en,high,messages_cleaned.csv
"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.","romantic paris. 2 nights, 2 flights from £79 book now 4 next year. call 08704439680ts&cs apply.",DANGEROUS,en,high,messages_cleaned.csv
"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.","we are at grandmas. oh dear, u still ill? i felt shit this morning but i think i am just hungover! another night then. we leave on sat.",SAFE,en,high,messages_cleaned.csv
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,urgent ur £500 guaranteed award is still unclaimed! call 09066368327 now closingdate04/09/02 claimcode m39m51 £1.50pmmorefrommobile2bremoved-mobypobox734ls27yf,DANGEROUS,en,high,messages_cleaned.csv
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,nothing but we jus tot u would ask cos u ba gua... but we went mt faber yest... yest jus went out already mah so today not going out... jus call lor...,SAFE,en,high,messages_cleaned.csv
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..","wishing you and your family merry ""x"" mas and happy new year in advance..",SAFE,en,high,messages_cleaned.csv
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,ur awarded a city break and could win a £200 summer shopping spree every wk. txt store to 88039 . skilgme. tscs087147403231winawk!age16 £1.50perwksub,DANGEROUS,en,high,messages_cleaned.csv
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...","i'm nt goin, got somethin on, unless they meetin 4 dinner lor... haha, i wonder who will go tis time...",SAFE,en,high,messages_cleaned.csv
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,lol i know! they're so dramatic. schools already closed for tomorrow. apparently we can't drive in the inch of snow were supposed to get.,SAFE,en,high,messages_cleaned.csv
Not getting anywhere with this damn job hunting over here!,not getting anywhere with this damn job hunting over here!,SAFE,en,high,messages_cleaned.csv
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?,lol! u drunkard! just doing my hair at d moment. yeah still up 4 tonight. wats the plan?,SAFE,en,high,messages_cleaned.csv
"idc get over here, you are not weaseling your way out of this shit twice in a row","idc get over here, you are not weaseling your way out of this shit twice in a row",SAFE,en,high,messages_cleaned.csv
I wil be there with in  &lt;#&gt;  minutes. Got any space,i wil be there with in &lt;#&gt; minutes. got any space,SAFE,en,high,messages_cleaned.csv
Thanks for picking up the trash.,thanks for picking up the trash.,SAFE,en,high,messages_cleaned.csv
Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,SAFE,en,high,messages_cleaned.csv
Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,hi its kate it was lovely to see you tonight and ill phone you tomorrow. i got to sing and a guy gave me his card! xxx,SAFE,en,high,messages_cleaned.csv
Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,happy new year my dear brother. i really do miss you. just got your number and decided to send you this text wishing you only happiness. abiola,SAFE,en,high,messages_cleaned.csv
That means get the door,that means get the door,SAFE,en,high,messages_cleaned.csv
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?","hmmm ... i thought we said 2 hours slave, not 3 ... you are late ... how should i punish you ?",SAFE,en,high,messages_cleaned.csv
Beerage?,beerage?,SAFE,en,high,messages_cleaned.csv
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,you have an important customer service announcement from premier. call freephone 0800 542 0578 now!,DANGEROUS,en,high,messages_cleaned.csv
Dont think so. It turns off like randomlly within 5min of opening,dont think so. it turns off like randomlly within 5min of opening,SAFE,en,high,messages_cleaned.csv
"She was supposed to be but couldn't make it, she's still in town though","she was supposed to be but couldn't make it, she's still in town though",SAFE,en,high,messages_cleaned.csv
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,it does it on its own. most of the time it fixes my spelling. but sometimes it gets a completely diff word. go figure,SAFE,en,high,messages_cleaned.csv
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),ever thought about living a good life with a perfect partner? just txt back name and age to join the mobile community. (100p/sms),DANGEROUS,en,high,messages_cleaned.csv
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.","5 free top polyphonic tones call 087018728737, national rate. get a toppoly tune sent every week, just text subpoly to 81618, £3 per pole. unsub 08718727870.",DANGEROUS,en,high,messages_cleaned.csv
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,this is hoping you enjoyed your game yesterday. sorry i've not been in touch but pls know that you are fondly bein thot off. have a great week. abiola,SAFE,en,high,messages_cleaned.csv
All e best 4 ur driving tmr :-),all e best 4 ur driving tmr :-),SAFE,en,high,messages_cleaned.csv
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,y?where u at dogbreath? its just sounding like jan c thats al!!!!!!!!!,SAFE,en,high,messages_cleaned.csv
Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,omg i want to scream. i weighed myself and i lost more weight! woohoo!,SAFE,en,high,messages_cleaned.csv
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,there generally isn't one. it's an uncountable noun - u in the dictionary. pieces of research?,SAFE,en,high,messages_cleaned.csv
it's really getting me down just hanging around.,it's really getting me down just hanging around.,SAFE,en,high,messages_cleaned.csv
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa","orange customer, you may now claim your free camera phone upgrade for your loyalty. call now on 0207 153 9996. offer ends 14thmarch. t&c's apply. opt-out availa",DANGEROUS,en,high,messages_cleaned.csv
Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,petey boy whereare you me and all your friendsare in thekingshead come down if you canlove nic,SAFE,en,high,messages_cleaned.csv
Ok i msg u b4 i leave my house.,ok i msg u b4 i leave my house.,SAFE,en,high,messages_cleaned.csv
Gimme a few was  &lt;#&gt;  minutes ago,gimme a few was &lt;#&gt; minutes ago,SAFE,en,high,messages_cleaned.csv
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16","last chance! claim ur £150 worth of discount vouchers today! text shop to 85023 now! savamob, offers mobile! t cs savamob pobox84, m263uz. £3.00 sub. 16",DANGEROUS,en,high,messages_cleaned.csv
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,appt is at &lt;time&gt; am. not my fault u don't listen. i told u twice,SAFE,en,high,messages_cleaned.csv
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates. www.getzed.co.uk pobox 36504 w45wq 16+ norm150p/tone,DANGEROUS,en,high,messages_cleaned.csv
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,you have won a guaranteed £200 award or even £1000 cashto claim ur award call free on 08000407165 (18+) 2 stop getstop on 88222 php. rg21 4jx,DANGEROUS,en,high,messages_cleaned.csv
K I'll be there before 4.,k i'll be there before 4.,SAFE,en,high,messages_cleaned.csv
I dled 3d its very imp,i dled 3d its very imp,SAFE,en,high,messages_cleaned.csv
"sure, but make sure he knows we ain't smokin yet","sure, but make sure he knows we ain't smokin yet",SAFE,en,high,messages_cleaned.csv
