text,language_orig,source_dataset,original_label,normalized_text,source_lang_dataset,label_unified,language_detected,language_fixed,language_confidence
"Yangi qurilmadan (Samsung Galaxy, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=14",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (samsung galaxy, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=14",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Tashkent) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=15",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, tashkent) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=15",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Redmi Note, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=16",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (redmi note, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=16",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=17",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=17",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Redmi Note, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=18",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (redmi note, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=18",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=19",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=19",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Tashkent) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=20",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, tashkent) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=20",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=21",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=21",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=22",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=22",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=23",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=23",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Samsung Galaxy, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=24",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (samsung galaxy, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=24",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=25",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=25",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=26",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=26",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=27",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=27",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Samsung Galaxy, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=28",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (samsung galaxy, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=28",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Samsung Galaxy, Tashkent) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=29",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (samsung galaxy, tashkent) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=29",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=30",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=30",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=31",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=31",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=32",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=32",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=33",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=33",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Tashkent) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=34",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, tashkent) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=34",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Samsung Galaxy, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=35",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (samsung galaxy, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=35",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=36",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=36",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=37",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=37",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=38",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=38",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=39",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=39",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Tashkent) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=40",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, tashkent) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=40",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Samsung Galaxy, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=41",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (samsung galaxy, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=41",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=42",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=42",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=43",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=43",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Redmi Note, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=44",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (redmi note, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=44",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Almaty) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=45",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, almaty) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=45",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=46",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: http://xavfsizlik.uz/tasdiq?id=46",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (MacBook, Moscow) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=47",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (macbook, moscow) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=47",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (iPhone 13, Tashkent) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=48",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (iphone 13, tashkent) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: https://profil-tasdiq.com/sms?id=48",uz,DANGEROUS,en,en,low
"Yangi qurilmadan (Windows PC, Samarkand) hisobingizga kirish aniqlandi. Xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=49",uz,messages_cleaned_v4.csv,scam,"yangi qurilmadan (windows pc, samarkand) hisobingizga kirish aniqlandi. xavfsizlik uchun tasdiqlash talab qilinadi: bit.ly/xavf-uz?id=49",uz,DANGEROUS,en,en,low
Payme: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/0,uz,messages_cleaned_v4.csv,scam,payme: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/0,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/1,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/1,uz,DANGEROUS,en,en,low
Telegram: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/2,uz,messages_cleaned_v4.csv,scam,telegram: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/2,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/3,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/3,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/4,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/4,uz,DANGEROUS,en,en,low
Telegram: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/5,uz,messages_cleaned_v4.csv,scam,telegram: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/5,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/6,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/6,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/7,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/7,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/8,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/8,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/9,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/9,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/10,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/10,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/11,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/11,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/12,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/12,uz,DANGEROUS,en,en,low
Payme: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/13,uz,messages_cleaned_v4.csv,scam,payme: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/13,uz,DANGEROUS,en,en,low
Payme: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/14,uz,messages_cleaned_v4.csv,scam,payme: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/14,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/15,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/15,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/16,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/16,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/17,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/17,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/18,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/18,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/19,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/19,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/20,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/20,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/21,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/21,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/22,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/22,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/23,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/23,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/24,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/24,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/25,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/25,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/26,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/26,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/27,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/27,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/28,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/28,uz,DANGEROUS,en,en,low
Telegram: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/29,uz,messages_cleaned_v4.csv,scam,telegram: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/29,uz,DANGEROUS,en,en,low
Uzum: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/30,uz,messages_cleaned_v4.csv,scam,uzum: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: http://payme-error.com/verify/30,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/31,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/31,uz,DANGEROUS,en,en,low
Payme: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/32,uz,messages_cleaned_v4.csv,scam,payme: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/32,uz,DANGEROUS,en,en,low
Payme: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/33,uz,messages_cleaned_v4.csv,scam,payme: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/33,uz,DANGEROUS,en,en,low
Click: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/34,uz,messages_cleaned_v4.csv,scam,click: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/34,uz,DANGEROUS,en,en,low
DavlatXizmatlari: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/35,uz,messages_cleaned_v4.csv,scam,davlatxizmatlari: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://uzum-tasdiq.uz/35,uz,DANGEROUS,en,en,low
Telegram: Xavfsizlik tizimi yangilandi. Profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/36,uz,messages_cleaned_v4.csv,scam,telegram: xavfsizlik tizimi yangilandi. profilingizni himoyalash uchun qayta verifikatsiyadan o'ting: https://click-auth.uz/code/36,uz,DANGEROUS,en,en,low
